timestamp,accX,accY,accZ
4287035281,-0.95,0.18,-0.17
4287037216,-0.95,0.18,-0.17
4287039216,-0.95,0.18,-0.17
4287041208,-0.95,0.18,-0.17
4287043208,-0.95,0.18,-0.17
4287045209,-0.96,0.18,-0.17
4287047207,-0.96,0.18,-0.17
4287049214,-0.96,0.18,-0.17
4287051215,-0.96,0.18,-0.17
4287053208,-0.96,0.18,-0.17
4287055322,-0.96,0.20,-0.18
4287057216,-0.96,0.20,-0.18
4287059215,-0.96,0.20,-0.18
4287061208,-0.96,0.20,-0.18
4287063207,-0.96,0.20,-0.18
4287065208,-0.97,0.23,-0.19
4287067211,-0.97,0.23,-0.19
4287069208,-0.97,0.23,-0.19
4287071209,-0.97,0.23,-0.19
4287073209,-0.97,0.23,-0.19
4287075220,-0.96,0.23,-0.20
4287077213,-0.96,0.23,-0.20
4287079215,-0.96,0.23,-0.20
4287081292,-0.96,0.23,-0.20
4287083211,-0.96,0.23,-0.20
4287085206,-0.96,0.23,-0.20
4287087215,-0.96,0.19,-0.19
4287089206,-0.96,0.19,-0.19
4287091216,-0.96,0.19,-0.19
4287093215,-0.96,0.19,-0.19
4287095219,-0.96,0.19,-0.19
4287097258,-0.95,0.20,-0.20
4287099207,-0.95,0.20,-0.20
4287101214,-0.95,0.20,-0.20
4287103217,-0.95,0.20,-0.20
4287105311,-0.95,0.20,-0.20
4287107218,-0.98,0.20,-0.16
4287109210,-0.98,0.20,-0.16
4287111209,-0.98,0.20,-0.16
4287113214,-0.98,0.20,-0.16
4287115206,-0.98,0.20,-0.16
4287117207,-0.97,0.19,-0.17
4287119214,-0.97,0.19,-0.17
4287121208,-0.97,0.19,-0.17
4287123207,-0.97,0.19,-0.17
4287125206,-0.97,0.19,-0.17
4287127214,-0.96,0.20,-0.17
4287129210,-0.96,0.20,-0.17
4287131287,-0.96,0.20,-0.17
4287133213,-0.96,0.20,-0.17
4287135206,-0.96,0.20,-0.17
4287137210,-0.96,0.21,-0.17
4287139218,-0.96,0.21,-0.17
4287141210,-0.96,0.21,-0.17
4287143208,-0.96,0.21,-0.17
4287145208,-0.96,0.21,-0.17
4287147209,-0.96,0.20,-0.17
4287149215,-0.96,0.20,-0.17
4287151207,-0.96,0.20,-0.17
4287153214,-0.96,0.20,-0.17
4287155293,-0.96,0.20,-0.17
4287157219,-0.97,0.21,-0.17
4287159208,-0.97,0.21,-0.17
4287161207,-0.97,0.21,-0.17
4287163214,-0.97,0.21,-0.17
4287165207,-0.97,0.21,-0.17
4287167216,-0.97,0.21,-0.17
4287169216,-0.97,0.22,-0.18
4287171210,-0.97,0.22,-0.18
4287173210,-0.97,0.22,-0.18
4287175220,-0.97,0.22,-0.18
4287177207,-0.97,0.22,-0.18
4287179210,-0.96,0.23,-0.19
4287181293,-0.96,0.23,-0.19
4287183216,-0.96,0.23,-0.19
4287185215,-0.96,0.23,-0.19
4287187207,-0.96,0.23,-0.19
4287189213,-0.95,0.23,-0.20
4287191206,-0.95,0.23,-0.20
4287193209,-0.95,0.23,-0.20
4287195209,-0.95,0.23,-0.20
4287197235,-0.95,0.23,-0.20
4287199259,-0.95,0.23,-0.20
4287201214,-0.95,0.23,-0.20
4287203209,-0.95,0.23,-0.20
4287205320,-0.95,0.23,-0.20
4287207215,-0.95,0.23,-0.20
4287209215,-0.95,0.23,-0.18
4287211209,-0.95,0.23,-0.18
4287213212,-0.95,0.23,-0.18
4287215207,-0.95,0.23,-0.18
4287217214,-0.95,0.23,-0.18
4287219209,-0.96,0.23,-0.16
4287221215,-0.96,0.23,-0.16
4287223215,-0.96,0.23,-0.16
4287225209,-0.96,0.23,-0.16
4287227216,-0.96,0.23,-0.16
4287229208,-0.97,0.25,-0.15
4287231289,-0.97,0.25,-0.15
4287233219,-0.97,0.25,-0.15
4287235215,-0.97,0.25,-0.15
4287237211,-0.97,0.25,-0.15
4287239216,-0.97,0.28,-0.15
4287241210,-0.97,0.28,-0.15
4287243214,-0.97,0.28,-0.15
4287245214,-0.97,0.28,-0.15
4287247209,-0.97,0.28,-0.15
4287249215,-0.97,0.28,-0.15
4287251215,-0.98,0.29,-0.14
4287253209,-0.98,0.29,-0.14
4287255305,-0.98,0.29,-0.14
4287257220,-0.98,0.29,-0.14
4287259217,-0.98,0.29,-0.14
4287261216,-0.98,0.30,-0.14
4287263210,-0.98,0.30,-0.14
4287265208,-0.98,0.30,-0.14
4287267209,-0.98,0.30,-0.14
4287269208,-0.98,0.30,-0.14
4287271207,-0.97,0.31,-0.15
4287273210,-0.97,0.31,-0.15
4287275219,-0.97,0.31,-0.15
4287277213,-0.97,0.31,-0.15
4287279215,-0.97,0.31,-0.15
4287281294,-0.97,0.32,-0.14
4287283209,-0.97,0.32,-0.14
4287285210,-0.97,0.32,-0.14
4287287213,-0.97,0.32,-0.14
4287289215,-0.97,0.32,-0.14
4287291209,-0.96,0.30,-0.18
4287293216,-0.96,0.30,-0.18
4287295208,-0.96,0.30,-0.18
4287297240,-0.96,0.30,-0.18
4287299230,-0.96,0.30,-0.18
4287301251,-0.96,0.30,-0.19
4287303210,-0.96,0.30,-0.19
4287305314,-0.96,0.30,-0.19
4287307218,-0.96,0.30,-0.19
4287309210,-0.96,0.30,-0.19
4287311210,-0.96,0.29,-0.18
4287313208,-0.96,0.29,-0.18
4287315215,-0.96,0.29,-0.18
4287317208,-0.96,0.29,-0.18
4287319210,-0.96,0.29,-0.18
4287321214,-0.95,0.28,-0.18
4287323207,-0.95,0.28,-0.18
4287325214,-0.95,0.28,-0.18
4287327212,-0.95,0.28,-0.18
4287329211,-0.95,0.28,-0.18
4287331288,-0.95,0.28,-0.18
4287333214,-0.95,0.27,-0.18
4287335209,-0.95,0.27,-0.18
4287337215,-0.95,0.27,-0.18
4287339216,-0.95,0.27,-0.18
4287341209,-0.95,0.27,-0.18
4287343214,-0.93,0.27,-0.17
4287345207,-0.93,0.27,-0.17
4287347216,-0.93,0.27,-0.17
4287349214,-0.93,0.27,-0.17
4287351209,-0.93,0.27,-0.17
4287353215,-0.95,0.26,-0.17
4287355293,-0.95,0.26,-0.17
4287357217,-0.95,0.26,-0.17
4287359209,-0.95,0.26,-0.17
4287361215,-0.95,0.26,-0.17
4287363216,-0.95,0.23,-0.16
4287365213,-0.95,0.23,-0.16
4287367209,-0.95,0.23,-0.16
4287369207,-0.95,0.23,-0.16
4287371207,-0.95,0.23,-0.16
4287373214,-0.95,0.20,-0.16
4287375218,-0.95,0.20,-0.16
4287377208,-0.95,0.20,-0.16
4287379207,-0.95,0.20,-0.16
4287381292,-0.95,0.20,-0.16
4287383207,-0.96,0.19,-0.16
4287385211,-0.96,0.19,-0.16
4287387206,-0.96,0.19,-0.16
4287389210,-0.96,0.19,-0.16
4287391208,-0.96,0.19,-0.16
4287393209,-0.95,0.19,-0.17
4287395211,-0.95,0.19,-0.17
4287397238,-0.95,0.19,-0.17
4287399214,-0.95,0.19,-0.17
4287401207,-0.95,0.19,-0.17
4287403255,-0.93,0.18,-0.18
4287405316,-0.93,0.18,-0.18
4287407220,-0.93,0.18,-0.18
4287409214,-0.93,0.18,-0.18
4287411210,-0.93,0.18,-0.18
4287413207,-0.93,0.18,-0.18
4287415208,-0.94,0.19,-0.19
4287417209,-0.94,0.19,-0.19
4287419208,-0.94,0.19,-0.19
4287421210,-0.94,0.19,-0.19
4287423214,-0.94,0.19,-0.19
4287425207,-0.95,0.17,-0.21
4287427209,-0.95,0.17,-0.21
4287429207,-0.95,0.17,-0.21
4287431295,-0.95,0.17,-0.21
4287433218,-0.95,0.17,-0.21
4287435210,-0.95,0.12,-0.20
4287437209,-0.95,0.12,-0.20
4287439216,-0.95,0.12,-0.20
4287441208,-0.95,0.12,-0.20
4287443215,-0.95,0.12,-0.20
4287445215,-0.96,0.07,-0.19
4287447209,-0.96,0.07,-0.19
4287449217,-0.96,0.07,-0.19
4287451215,-0.96,0.07,-0.19
4287453210,-0.96,0.07,-0.19
4287455293,-0.97,0.06,-0.19
4287457218,-0.97,0.06,-0.19
4287459210,-0.97,0.06,-0.19
4287461210,-0.97,0.06,-0.19
4287463209,-0.97,0.06,-0.19
4287465211,-0.98,0.07,-0.21
4287467209,-0.98,0.07,-0.21
4287469209,-0.98,0.07,-0.21
4287471208,-0.98,0.07,-0.21
4287473216,-0.98,0.07,-0.21
4287475219,-0.98,0.12,-0.23
4287477210,-0.98,0.12,-0.23
4287479216,-0.98,0.12,-0.23
4287481296,-0.98,0.12,-0.23
4287483220,-0.98,0.12,-0.23
4287485215,-0.97,0.11,-0.25
4287487208,-0.97,0.11,-0.25
4287489209,-0.97,0.11,-0.25
4287491213,-0.97,0.11,-0.25
4287493206,-0.97,0.11,-0.25
4287495211,-0.97,0.11,-0.25
4287497250,-0.97,0.10,-0.30
4287499208,-0.97,0.10,-0.30
4287501213,-0.97,0.10,-0.30
4287503215,-0.97,0.10,-0.30
4287505340,-0.97,0.10,-0.30
4287507220,-0.97,0.07,-0.32
4287509208,-0.97,0.07,-0.32
4287511207,-0.97,0.07,-0.32
4287513214,-0.97,0.07,-0.32
4287515208,-0.97,0.07,-0.32
4287517215,-0.96,0.02,-0.32
4287519208,-0.96,0.02,-0.32
4287521207,-0.96,0.02,-0.32
4287523209,-0.96,0.02,-0.32
4287525208,-0.96,0.02,-0.32
4287527214,-0.95,0.02,-0.33
4287529207,-0.95,0.02,-0.33
4287531286,-0.95,0.02,-0.33
4287533216,-0.95,0.02,-0.33
4287535210,-0.95,0.02,-0.33
4287537216,-0.97,0.03,-0.31
4287539214,-0.97,0.03,-0.31
4287541207,-0.97,0.03,-0.31
4287543207,-0.97,0.03,-0.31
4287545214,-0.97,0.03,-0.31
4287547207,-0.98,0.02,-0.27
4287549215,-0.98,0.02,-0.27
4287551213,-0.98,0.02,-0.27
4287553207,-0.98,0.02,-0.27
4287555297,-0.98,0.02,-0.27
4287557220,-0.98,0.00,-0.25
4287559210,-0.98,0.00,-0.25
4287561214,-0.98,0.00,-0.25
4287563213,-0.98,0.00,-0.25
4287565206,-0.98,0.00,-0.25
4287567208,-0.98,-0.02,-0.24
4287569209,-0.98,-0.02,-0.24
4287571213,-0.98,-0.02,-0.24
4287573209,-0.98,-0.02,-0.24
4287575219,-0.98,-0.02,-0.24
4287577213,-0.98,-0.02,-0.24
4287579214,-0.97,-0.03,-0.25
4287581294,-0.97,-0.03,-0.25
4287583213,-0.97,-0.03,-0.25
4287585215,-0.97,-0.03,-0.25
4287587209,-0.97,-0.03,-0.25
4287589210,-0.97,-0.04,-0.26
4287591215,-0.97,-0.04,-0.26
4287593208,-0.97,-0.04,-0.26
4287595210,-0.97,-0.04,-0.26
4287597240,-0.97,-0.04,-0.26
4287599214,-0.99,-0.04,-0.27
4287601214,-0.99,-0.04,-0.27
4287603207,-0.99,-0.04,-0.27
4287605309,-0.99,-0.04,-0.27
4287607219,-0.99,-0.04,-0.27
4287609247,-0.98,-0.02,-0.29
4287611213,-0.98,-0.02,-0.29
4287613210,-0.98,-0.02,-0.29
4287615210,-0.98,-0.02,-0.29
4287617207,-0.98,-0.02,-0.29
4287619216,-0.98,-0.02,-0.30
4287621213,-0.98,-0.02,-0.30
4287623208,-0.98,-0.02,-0.30
4287625208,-0.98,-0.02,-0.30
4287627215,-0.98,-0.02,-0.30
4287629297,-1.00,-0.03,-0.31
4287631306,-1.00,-0.03,-0.31
4287633210,-1.00,-0.03,-0.31
4287635209,-1.00,-0.03,-0.31
4287637218,-1.00,-0.03,-0.31
4287639217,-1.00,0.00,-0.33
4287641215,-1.00,0.00,-0.33
4287643210,-1.00,0.00,-0.33
4287645212,-1.00,0.00,-0.33
4287647206,-1.00,0.00,-0.33
4287649216,-0.98,0.00,-0.33
4287651215,-0.98,0.00,-0.33
4287653208,-0.98,0.00,-0.33
4287655294,-0.98,0.00,-0.33
4287657217,-0.98,0.00,-0.33
4287659213,-0.98,0.00,-0.33
4287661214,-0.97,0.03,-0.34
4287663210,-0.97,0.03,-0.34
4287665212,-0.97,0.03,-0.34
4287667209,-0.97,0.03,-0.34
4287669210,-0.97,0.03,-0.34
4287671215,-0.99,0.10,-0.36
4287673211,-0.99,0.10,-0.36
4287675220,-0.99,0.10,-0.36
4287677209,-0.99,0.10,-0.36
4287679213,-0.99,0.10,-0.36
4287681295,-0.98,0.14,-0.37
4287683215,-0.98,0.14,-0.37
4287685210,-0.98,0.14,-0.37
4287687210,-0.98,0.14,-0.37
4287689215,-0.98,0.14,-0.37
4287691211,-0.93,0.14,-0.36
4287693218,-0.93,0.14,-0.36
4287695215,-0.93,0.14,-0.36
4287697230,-0.93,0.14,-0.36
4287699213,-0.93,0.14,-0.36
4287701214,-0.94,0.14,-0.34
4287703207,-0.94,0.14,-0.34
4287705314,-0.94,0.14,-0.34
4287707219,-0.94,0.14,-0.34
4287709225,-0.94,0.14,-0.34
4287711252,-0.96,0.20,-0.32
4287713212,-0.96,0.20,-0.32
4287715213,-0.96,0.20,-0.32
4287717215,-0.96,0.20,-0.32
4287719209,-0.96,0.20,-0.32
4287721214,-0.95,0.23,-0.32
4287723214,-0.95,0.23,-0.32
4287725208,-0.95,0.23,-0.32
4287727211,-0.95,0.23,-0.32
4287729209,-0.95,0.23,-0.32
4287731307,-0.94,0.20,-0.34
4287733215,-0.94,0.20,-0.34
4287735214,-0.94,0.20,-0.34
4287737211,-0.94,0.20,-0.34
4287739218,-0.94,0.20,-0.34
4287741208,-0.94,0.20,-0.34
4287743215,-0.93,0.15,-0.33
4287745216,-0.93,0.15,-0.33
4287747213,-0.93,0.15,-0.33
4287749213,-0.93,0.15,-0.33
4287751209,-0.93,0.15,-0.33
4287753207,-0.93,0.14,-0.34
4287755306,-0.93,0.14,-0.34
4287757217,-0.93,0.14,-0.34
4287759217,-0.93,0.14,-0.34
4287761215,-0.93,0.14,-0.34
4287763209,-0.94,0.14,-0.35
4287765214,-0.94,0.14,-0.35
4287767211,-0.94,0.14,-0.35
4287769210,-0.94,0.14,-0.35
4287771214,-0.94,0.14,-0.35
4287773213,-0.96,0.17,-0.34
4287775219,-0.96,0.17,-0.34
4287777213,-0.96,0.17,-0.34
4287779210,-0.96,0.17,-0.34
4287781294,-0.96,0.17,-0.34
4287783216,-0.95,0.17,-0.33
4287785209,-0.95,0.17,-0.33
4287787209,-0.95,0.17,-0.33
4287789209,-0.95,0.17,-0.33
4287791210,-0.95,0.17,-0.33
4287793215,-0.94,0.12,-0.34
4287795210,-0.94,0.12,-0.34
4287797240,-0.94,0.12,-0.34
4287799210,-0.94,0.12,-0.34
4287801212,-0.94,0.12,-0.34
4287803214,-0.94,0.09,-0.34
4287805318,-0.94,0.09,-0.34
4287807215,-0.94,0.09,-0.34
4287809212,-0.94,0.09,-0.34
4287811224,-0.94,0.09,-0.34
4287813255,-0.95,0.08,-0.34
4287815216,-0.95,0.08,-0.34
4287817216,-0.95,0.08,-0.34
4287819207,-0.95,0.08,-0.34
4287821215,-0.95,0.08,-0.34
4287823208,-0.95,0.08,-0.34
4287825211,-0.95,0.10,-0.35
4287827215,-0.95,0.10,-0.35
4287829214,-0.95,0.10,-0.35
4287831304,-0.95,0.10,-0.35
4287833210,-0.95,0.10,-0.35
4287835215,-0.95,0.08,-0.34
4287837210,-0.95,0.08,-0.34
4287839217,-0.95,0.08,-0.34
