filename,label,ax_mean,ax_std,ax_var,ax_range,ax_rms,ax_skew,ax_kurtosis,ay_mean,ay_std,ay_var,ay_range,ay_rms,ay_skew,ay_kurtosis,az_mean,az_std,az_var,az_range,az_rms,az_skew,az_kurtosis,a_total_energy,a_total_max,a_total_min,a_total_median,a_total_iqr,a_total_absmean,a_total_zero_crossings
skud69_clipped.csv,shot,-3.73745,4.1176681504827455,16.955190997499997,16.61,5.5609103121701215,-1.6375957877067109,5.231369787947929,-1.24095,3.0643076864929863,9.389981597499999,20.64,3.3060457498346874,-2.003600454999767,11.773498645123325,-1.0162,2.661858854259557,7.085492560000001,9.17,2.849237617328537,-0.6466480682890794,2.022926218529524,49.971817,22.40145084587157,1.0589617556833677,4.7867316615828805,3.294646729513447,5.5241667926279545,0
skud7_clipped.csv,shot,-2.9787,3.6935207201259885,13.64209531,16.48,4.744970916665349,-2.1475573776278907,7.477888268892235,-0.7101,2.8837118424003467,8.315793990000001,17.64,2.969854541892582,0.386356348187304,6.579388826380913,-0.49379999999999996,1.985291051710051,3.9413805600000007,10.05,2.0457807800446264,0.2123449321940145,3.8183059094886644,35.520004,19.47954054899653,1.225805857385255,2.970202013331753,2.410355586711543,4.416505663994025,0
skud8_clipped.csv,shot,-2.12535,3.591745519590719,12.900635877500003,16.36,4.173457619288832,-2.5245392345987705,9.239006978335762,-0.47314999999999996,4.588235235632541,21.0519025775,26.3,4.612566910083799,-1.2409812861194978,6.420624883304705,-0.15455000000000005,1.9962854999974327,3.9851557974999996,10.1,2.002259099117794,-0.5868219708370035,4.260563013268617,42.7025635,22.219111143337845,0.4482186966202994,2.86660077443651,3.9419420193524703,4.538128786278233,0
cross10_clipped.csv,cross,-3.8415999999999997,5.0176430163972405,25.176741439999997,19.66,6.319385413155302,-1.3171029273151602,3.965745075715406,-0.72955,4.855803259760428,23.578825297500003,29.93,4.910302281937437,0.05328059046867268,6.973582416209019,-0.9521000000000004,2.5357812583107395,6.430186589999998,10.89,2.7086308349422588,-0.7494313943130124,2.8763264468529557,71.3823815,21.91115925732821,0.7831347265956222,4.84010330468266,5.98214919627788,6.373675518876812,0
cross11_clipped.csv,cross,-3.9423500000000002,5.101899938013289,26.0293829775,17.439999999999998,6.447596955455575,-1.2851354527678918,3.657395894092088,-1.7042499999999998,4.701712713203562,22.1061024375,30.22,5.001056938288146,0.3605055715080975,7.043603755496514,-1.57005,2.60796520250942,6.8014824975,9.93,3.044099127820906,-0.8539215018111304,2.95532929291733,75.84861649999999,22.920506102614752,2.1219330809429406,4.853874740864251,3.820789245754939,6.974426640520527,0
cross12_clipped.csv,cross,-3.77995,4.041478503901759,16.3335484975,15.37,5.533676038584117,-1.8064957871501495,5.069025649196234,-0.8502000000000001,4.456154391400729,19.85731196,26.2,4.536535241789708,-0.9947826582908772,6.41807600920576,-0.039599999999999795,2.7318552011407924,7.46303284,8.77,2.7321421998131794,0.03671731417404428,1.7295065971103145,58.666323500000004,22.0480611392476,1.132121901563608,4.281448353069321,5.750313856683626,5.817108551075441,0
cross13_clipped.csv,cross,-3.35465,4.78063666026817,22.854486877500005,17.82,5.840219473615696,-1.340486007991966,3.979734441233767,-0.5912000000000001,4.012611438950948,16.101050559999997,26.86,4.055929979671739,0.47106614327405766,7.755208945221858,-0.18810000000000002,2.297117191176802,5.276747390000001,8.9,2.304805631718215,-0.538230874771119,2.157519318716409,55.8708605,20.687003166239425,0.848174510345601,3.903191002244189,5.735427997641705,5.62193263691187,0
cross14_clipped.csv,cross,-4.1194500000000005,4.479312915782955,20.0642441975,17.02,6.0855659145226575,-1.4678676720144954,4.154032991839485,-0.72875,4.898852920582532,23.998759937499997,29.43,4.952760492896865,-0.6194478365737306,6.107359904572196,-0.6376999999999998,3.5628688875679946,12.69403471,14.54,3.619488361633451,-0.23577577994106763,2.418190096319704,74.664645,23.597126943761605,0.9472064188971694,5.236296401083499,5.665261156302438,6.936511068557156,0
cross15_clipped.csv,cross,-3.2890500000000005,5.331144586062171,28.421102597500003,19.41,6.26410029453552,-0.9297231699061231,3.183945828938555,-1.37465,4.65906781207357,21.7069128775,26.39,4.8576306467248,-0.06747730635556895,5.363418094466073,-0.64455,2.752270117103334,7.5749907975,16.02,2.826735838383205,0.01592294095648225,4.6510095617131135,70.8259635,21.3901379144689,2.0004499493863874,4.268618043348456,4.015442353570485,6.686504000961846,0
cross16_clipped.csv,cross,-3.2871499999999996,4.854004159196817,23.561356377499997,18.02,5.862312811510487,-1.487838741907649,4.088507780826548,-0.34965,4.560260889192635,20.795979377499997,28.15,4.573645646527504,-0.253598750382437,6.292122785016017,-0.6186500000000001,2.3710802764773695,5.622021677499999,10.64,2.450459038629293,-0.3912656760666067,2.7869659073923807,61.2896955,21.43294893382616,0.6265780079128216,4.484205615267881,6.458574968034325,5.914643433852384,0
cross17_clipped.csv,cross,-3.41535,4.87276963107225,23.743883877499997,17.48,5.9505041383062665,-1.5760433624139556,4.287357573822482,-0.2503999999999998,4.1711725977235705,17.39868084,22.02,4.178681729923924,-1.2607178399841952,6.216622636232388,-0.4941,2.5992664715261498,6.756186190000001,11.59,2.6458119736670627,-0.4067069890793268,2.90774513200457,59.8702015,21.632866199373584,0.4274342054632502,4.40101124742939,4.944142397759456,5.768385180859041,0
cross1_clipped.csv,cross,-2.12165,3.633223331629918,13.200311777500001,19.330000000000002,4.207340074203653,-1.8235772243943391,7.069584357126409,-0.7505000000000002,4.365565914059712,19.058165750000004,26.310000000000002,4.429606754555081,0.39787983491149276,5.9185105607828445,-0.6697500000000001,2.308329793920271,5.3283864375,10.940000000000001,2.4035289679968495,-1.3670320655088417,5.4907239541693125,43.100077999999996,18.438416417903134,0.7725930364687479,3.4301457694972672,5.39294735515976,4.868683954650924,0
cross21_clipped.csv,cross,-3.41365,4.787918042061706,22.924159177499995,17.509999999999998,5.880235156862351,-1.4936121926761952,4.137466434639925,-0.30144999999999994,3.5919062345083566,12.901790397500001,24.64,3.6045336036719093,-1.1670758169485647,9.151310683913083,-0.1391999999999996,2.6196464188893893,6.862547360000001,9.48,2.623342143144885,-0.1017613330459321,1.9906928841783267,54.451752,21.512082651384542,0.1208304597359457,3.894123778207364,4.018995906887215,5.459331385218916,0
