filename,label,ax_mean,ax_std,ax_kurtosis,ax_maxpeak,ay_mean,ay_std,ay_kurtosis,ay_maxpeak,az_mean,az_std,az_kurtosis,az_maxpeak,a_total_mean,a_total_std,a_total_kurtosis,a_total_maxpeak
skud10_clipped.csv,shot,-2.359191919191919,3.2625707458397737,8.86608659848493,0.42,-0.30752525252525265,4.56262285829925,6.943809190766146,15.58,-0.7661616161616162,1.4179216985753396,5.3772845811852585,0.92,4.50785464414378,4.396312892403975,6.5230586961826615,20.175445472157488
skud11_clipped.csv,shot,-2.46075,3.310796248107457,7.066333637968877,0.06,-0.014150000000000062,3.9011619551747034,10.208561324337824,14.14,-0.4427000000000001,1.4281416782890737,2.6768467440373716,2.72,4.074640645949969,4.220993548806696,8.860252899068923,21.012974563350134
skud13_clipped.csv,shot,-2.47925,3.7413956143685314,5.330203193976284,0.87,-0.24309999999999996,4.052616797147569,9.39863143697726,15.3,-0.41669999999999985,1.6094645040974804,5.569825627285818,5.38,4.286741061566142,4.5776744190162075,6.771783996042168,20.51928117649349
skud16_clipped.csv,shot,-2.0328,3.253629772034203,7.662445783319134,1.64,-0.1438,5.009981249526091,6.7983055220659105,15.47,-0.6022,1.759421490120971,12.589228522227414,1.81,4.40246239232573,4.882704465626695,4.87683714999617,19.12838728173392
skud18_clipped.csv,shot,-2.3175,3.8814872751738707,7.788493079559012,1.04,-0.8362999999999999,3.391229348254451,11.692007551264417,11.34,-0.42944999999999994,2.685296498325575,5.493998239928334,7.07,4.298998640231418,4.63562273941694,8.72279400440497,23.12588809105501
skud19_clipped.csv,shot,-1.8528000000000002,4.020631736156514,7.761127945979803,1.89,-0.9641999999999998,5.20823375572481,5.721727444301003,13.64,-0.6022500000000001,2.191156835759246,5.007548754888102,3.33,5.1153690899208675,5.151975624755275,6.542207197641998,22.50495278821975
skud1_clipped.csv,shot,-2.51745,4.043311866744735,5.279772677980334,1.5,-0.3278499999999999,3.8316034243522044,8.081720630754157,11.2,-0.17850000000000002,2.5017966910636615,3.008762996907416,5.7,4.6725016608043,4.6750412063624625,7.040681117306012,21.81076110547268
skud21_clipped.csv,shot,-2.4234000000000004,3.623941805693805,6.252419728353366,0.62,-0.2739999999999999,2.777541843693329,8.681669839868771,8.42,-0.5021,2.562509877907178,13.517603279454077,10.8,4.044207731683868,4.148198231258663,7.650048965615217,19.462217242647355
skud22_clipped.csv,shot,-2.1406,3.9188922186130006,6.306230426569966,2.27,-0.6701500000000001,3.7329555668155354,8.254667847686513,8.52,-0.32795,2.509326782627175,5.223029720234325,5.99,4.389266063434969,4.625102082195781,7.935670937431607,22.97968015443209
skud23_clipped.csv,shot,-2.00195,3.4284075881452987,4.5723303451647865,3.36,-0.5091499999999999,4.225005102729516,5.825472170852812,12.97,-0.44739999999999996,2.860078580640257,3.498843407531656,6.9,5.1540415656036656,3.9467348682971934,6.640302120029136,19.01091528569837
skud24_clipped.csv,shot,-2.352192513368984,3.7527803320743227,6.876131081065021,2.39,-1.2406417112299468,4.477094946043163,6.759192910327382,13.42,-0.7563636363636365,1.507037482806767,2.085035333970756,1.72,4.790582614315444,4.58377779249664,7.140956197797074,22.246610977854584
skud28_clipped.csv,shot,-2.22815,3.3071744878316935,8.03839827127086,2.56,-0.6765999999999999,3.3996652865100567,9.500959642225789,10.25,-0.2340000000000001,2.1174282780209617,3.899847523061609,4.36,4.117114075619495,3.9303361049438195,9.619232531455475,20.787854627161504
skud29_clipped.csv,shot,-2.6707000000000005,3.835446225505413,5.466135645082279,1.14,-0.87965,4.584347235471686,6.336872794178515,15.29,-0.8908,3.2261765973340526,6.045248091003671,10.35,5.559833146388228,4.879722156634798,4.813482100026511,21.143767403185272
skud2_clipped.csv,shot,-2.6388,3.503112838289533,6.1198394289285964,0.62,-0.72855,3.9113964910310806,9.34950665275128,11.37,-0.9764000000000002,1.9444044288456486,2.26961866230066,2.42,4.657618526599623,4.247230272260262,7.942595044815195,21.710485945735996
skud30_clipped.csv,shot,-2.1062499999999997,3.4865189674014756,5.005028840165795,2.21,-0.7018999999999999,4.310545604333073,8.827386980529502,15.78,-0.60155,1.9685104175033201,3.486838796555883,4.2,4.4061416206407715,4.518562943484162,6.191529679645757,18.87487748304608
skud32_clipped.csv,shot,-2.39915,3.9685557766347825,6.519616020303251,3.38,-0.9667000000000001,4.089142887915382,8.525770074235329,10.14,-0.4375499999999999,2.4651222354435878,2.5325464044750223,5.56,5.248771233071546,4.216132637258389,10.313300465659665,23.251771975486083
skud33_clipped.csv,shot,-2.6717499999999994,3.4424772600453943,6.308586005742153,2.02,0.23255000000000003,5.026269783565734,6.076119491168298,13.98,-0.8284,3.0976461220558162,3.869974605506626,7.13,5.377464199947035,5.056202199447374,5.093861288901818,22.500399996444507
skud34_clipped.csv,shot,-2.3802,3.518212051625229,6.682432620846477,1.26,0.013300000000000018,4.40857183656918,6.271321974658292,12.43,-1.00365,2.315358417287162,5.206409394707513,4.28,4.672316530456935,4.68405139023374,6.089736414734876,22.018655726451605
skud36_clipped.csv,shot,-1.7447500000000002,3.90988618599534,6.27809741520846,2.54,-1.00495,4.338770174905934,10.729003502265929,15.31,-1.03885,1.9358862194803363,9.764166036725838,2.05,4.512286900118981,4.749297375276546,7.755960455044334,22.6672495023106
skud38_clipped.csv,shot,-2.278,3.7993195635177415,5.26434812586064,0.78,-1.1142,4.334535772353141,9.302361512618193,14.54,-0.9659,1.9705699479079626,6.353668921034949,3.64,4.77217053980199,4.649603791305946,5.326838190429863,20.078448645251456
skud39_clipped.csv,shot,-1.8585500000000001,3.5283867365003454,8.567279490683019,1.62,-0.8907499999999999,4.147339152726564,9.708114125816252,14.07,-0.68035,1.1630852133733964,5.349583181400295,3.27,3.9973761949996924,4.43594183408968,8.421169676358593,21.50534119701429
skud40_clipped.csv,shot,-1.79165,3.2401735137948227,8.931757262774434,1.01,-0.69895,3.251201772008553,6.892348293401106,9.86,-0.30510000000000004,1.7677786049106656,3.7505659603760377,4.3,3.6500648109967995,3.8229355285960436,7.560043592964946,18.54168546815526
skud41_clipped.csv,shot,-2.4059500000000003,3.739607253382063,4.590839250647422,1.92,-0.665,5.02329197952476,6.614628559992616,15.2,-0.3763499999999999,1.8453478591055748,2.6994015606655846,4.08,5.220119629554094,4.652024690578587,6.328164615208344,20.41081576027769
skud43_clipped.csv,shot,-2.122626262626263,4.027529399983713,5.206969866158276,2.59,-1.1585353535353535,4.926632211817768,7.7796136123212305,15.6,-0.8774242424242426,2.127199949748813,5.833696333138195,3.95,5.013433841017329,5.138753163131966,5.23432028916954,21.96604197391965
skud44_clipped.csv,shot,-2.10325,3.777000343589789,6.575996124934755,1.09,-1.1161,4.356104685398499,8.206635955752649,13.47,-0.6538499999999999,2.4741389401112612,6.55755089445693,2.84,4.689430268314946,4.83621521924385,5.398539216465144,19.751478425677405
skud45_clipped.csv,shot,-2.4145454545454546,4.039648367048236,5.126795704582182,1.73,-0.6354040404040405,4.863992697653465,4.454640252231514,11.82,-0.28469696969696967,1.7490890040974845,3.275621505256566,4.24,5.170903193493563,4.744407721871423,4.420814911298063,19.28309103852388
skud46_clipped.csv,shot,-2.2081999999999997,3.645826795820892,8.808530634134408,1.95,-0.7922,3.7909186858085024,7.966934680365081,11.16,-0.43435000000000007,2.5820169704474045,6.294839739810187,4.99,4.686455975123574,4.240010179805328,8.496319903130372,21.847906078157692
skud47_clipped.csv,shot,-2.3400999999999996,3.134870981452308,7.897395004976404,0.82,-1.14095,4.738935232007906,7.714773438942402,15.01,-0.5336,2.8110796652571253,5.439647165340364,3.6,4.781705916345933,4.930064574947071,5.543543158372875,20.661444770392997
