filename,label,ax_mean,ax_std,ax_var,ax_range,ax_rms,ax_skew,ax_kurtosis,ay_mean,ay_std,ay_var,ay_range,ay_rms,ay_skew,ay_kurtosis,az_mean,az_std,az_var,az_range,az_rms,az_skew,az_kurtosis,a_total_energy,a_total_max,a_total_min,a_total_median,a_total_absmean
Clipped_pass14.csv,pass,-1.36612,1.3060960705859275,1.7058869455999999,12.89,1.890018730065922,-5.139218723338148,37.34875691042352,-0.06505999999999998,1.3885633569988802,1.9281081964,14.23,1.3900866879443166,-2.3707516773564112,21.52620402715698,-0.36313999999999996,1.395711553437887,1.9480107404,14.11,1.4421793924474167,4.874140556396424,41.830825623778075,7.584393199999999,18.11894312591107,0.9505261700763424,1.194361754243663,1.8979232483979853
Clipped_pass15.csv,pass,-1.32498,1.0546105440398366,1.1122033996,6.9,1.6934507373998218,-3.1798612453126953,14.623431247263929,-0.06475999999999998,1.6600520902670497,2.7557729424000006,17.21,1.66131478052776,-0.763672773161402,18.08765802450567,-0.38404000000000005,1.1866391525649236,1.4081124783999999,10.69,1.247236625504559,3.149057703856661,25.09408357277441,7.1833414000000015,13.499929629446225,0.762954782408499,1.2836035815916589,1.9197934484337282
Clipped_pass16.csv,pass,-1.3371,1.194408217486802,1.42661099,10.489999999999998,1.7928880054258827,-4.545596534051845,29.539883530021132,-0.14050000000000004,1.1500702369855504,1.32266155,9.79,1.1586206454228236,-0.3605758707660856,10.199050266579919,-0.36538,0.874342985103672,0.7644756556,5.75,0.9476171167723808,0.7951271114013703,7.404488812783024,5.4548274,11.739484656491529,1.0195587280779856,1.1819475453673909,1.8177286672458977
Clipped_pass17.csv,pass,-1.4247799999999997,1.1813332093867503,1.3955481515999997,8.77,1.8508231141846052,-3.5019485570634536,18.192512953967178,-0.12962000000000007,1.7857060384060979,3.1887460556000002,16.98,1.7904042560271132,-0.3107388822029768,14.229297204621087,-0.39457999999999993,1.0703961993579758,1.1457480235999997,8.559999999999999,1.1408073456986503,1.9376558921169154,14.237428809026163,7.932535,11.233565774054114,0.904930936591296,1.282731460594929,2.100594124729568
Clipped_pass18.csv,pass,-1.3752199999999999,1.0748682484844365,1.1553417516000002,7.24,1.7454431528984267,-3.2357017572522935,14.985384036348579,0.0315,1.997850332232122,3.9914059500000003,20.5,1.9980986462134447,-0.1592758970908077,16.671269646538416,-0.36698000000000003,1.1248647383574615,1.2653206796000003,10.15,1.1832138437324,2.523376537241046,20.879138621476237,8.438964999999998,13.16474458544487,0.9282241108697834,1.1970797801316335,2.0661824114706624
Clipped_pass19.csv,pass,-1.3062248995983936,1.2758790204096058,1.6278672747213752,10.09,1.825949277239707,-3.928706388887559,21.37725013645334,-0.17618473895582332,1.0602113442071701,1.1240480943855746,8.68,1.0747507416264044,-1.8237166648550507,14.388721758118368,-0.4218875502008032,0.9863976748235022,0.9729803728972114,8.39,1.072832455657288,1.618199953662405,14.280553351798678,5.640149397590361,10.524110413711934,0.9239588735436226,1.2408867796862049,1.8096497184145086
Clipped_pass2.csv,pass,-1.2741200000000001,1.1361419918302464,1.2908186255999998,11.25,1.7071029260123713,-5.627111113403563,44.14102387719456,-0.13395999999999997,1.3850052412897216,1.9182395183999998,16.09,1.3914685767202937,-3.9131738522533692,36.7999539945456,-0.2896,1.321816114291243,1.7471978400000006,14.56,1.3531688734226783,6.198108088882996,55.08137949589463,6.681451200000001,18.584601152567146,0.9986991538997118,1.167925511127232,1.7371757942585988
Clipped_pass20.csv,pass,-1.3975400000000002,1.3938855578561677,1.9429169484,11.51,1.9738376326334446,-4.418721135691918,25.37334104970463,-0.18377999999999994,1.263814824885355,1.5972279116,9.59,1.2771072781877018,-1.168218970252451,9.221694739535424,-0.37244000000000005,1.1823209574392226,1.3978828464000002,9.870000000000001,1.2395944498100981,2.2490956408953,16.826313457862746,7.063632400000001,12.16546752081481,0.8179242018671412,1.290387538687506,1.9699244907661715
Clipped_pass21.csv,pass,-1.5088554216867471,1.787343526776979,3.19459688271157,14.0,2.3390685253461605,-4.478872809802658,27.22145466403934,0.11845381526104415,1.9107868127687362,3.6511062438509057,22.869999999999997,1.9144548963610513,-2.8662713281984002,34.299210996172,-0.40345381526104424,1.4947893831827295,2.234395300075805,16.69,1.548279781281309,3.4463563904830266,31.91757758608282,11.533549397590361,22.275829950868275,0.8015609770940698,1.1964530914331744,2.143171677746047
Clipped_pass22.csv,pass,-1.28352,1.0920782067233097,1.1926348096000001,9.950000000000001,1.6852472815584068,-4.882770674370183,34.7688991334257,-0.11054000000000003,1.39983524330544,1.9595387084000002,16.37,1.4041929354615055,-0.8132682936687606,24.72616441147432,-0.41168,0.9335896194795655,0.8715895776,8.46,1.020328378513506,2.4703934812503165,20.86974086273131,5.852886199999999,14.238377716579931,0.737631344236401,1.204823638546323,1.7600576818863822
Clipped_pass23.csv,pass,-1.52194,1.8063927691396462,3.2630548363999994,15.04,2.362066087136429,-4.514550384607724,28.48363171904996,-0.27846000000000004,1.9547900727188072,3.8212042283999996,18.0,1.9745237906897957,-3.7189783841165873,24.955029064187727,-0.34592000000000006,1.310545136040724,1.7175285535999998,12.82,1.355429526017491,1.976345156062638,17.668433424884576,11.315289599999996,20.152128919794052,0.8462269199216012,1.4796621235944374,2.214236302117926
Clipped_pass24.csv,pass,-1.8908800000000001,2.0360150357008666,4.145357225600001,13.95,2.7786299501732863,-2.8004338650446328,13.336978245856699,-0.01573999999999998,1.8503594387037348,3.4238300524000005,16.76,1.8504263832965633,-2.1223222621191855,18.049997575380747,-0.51642,1.107917588812453,1.2274813836,8.75,1.2223628757451692,1.9842393707573474,14.83888960156908,12.639033199999998,17.91813885424488,0.3570714214271425,1.545897797398004,2.5072711881851837
Clipped_pass25.csv,pass,-1.6526706827309239,1.9462469021169784,3.7878770039999354,17.130000000000003,2.5532718988698075,-3.9655236476187588,26.174729991586986,-0.0651004016064257,2.2392861585692168,5.014402499959679,17.33,2.2402322563183037,-2.688934921062619,16.955545049484144,-0.4246385542168675,1.6210272320438137,2.6277292870276283,16.29,1.6757228854303508,2.6091876186718492,22.27549634291859,14.345885140562249,22.461322311921,0.3586084215408222,1.642224101637776,2.591221703410102
