time,ax,ay,az,a_total
-0.19999699999993936,0.32,-1.1,-0.34,1.1949895397031725
-0.19799799999987044,0.32,-1.1,-0.34,1.1949895397031725
-0.19599399999992784,0.32,-1.1,-0.34,1.1949895397031725
-0.19403799999986404,0.49,-0.81,-0.23,0.9742176348229383
-0.19202099999984057,0.49,-0.81,-0.23,0.9742176348229383
-0.1899759999998878,0.49,-0.81,-0.23,0.9742176348229383
-0.1880429999998796,0.49,-0.81,-0.23,0.9742176348229383
-0.1860429999999269,0.49,-0.81,-0.23,0.9742176348229383
-0.18404499999996915,0.66,-0.55,-0.18,0.8777812939451376
-0.1819839999998294,0.66,-0.55,-0.18,0.8777812939451376
-0.1799869999999828,0.66,-0.55,-0.18,0.8777812939451376
-0.1780429999998887,0.66,-0.55,-0.18,0.8777812939451376
-0.17604099999994105,0.66,-0.55,-0.18,0.8777812939451376
-0.1740429999999833,0.73,-0.2,-0.14,0.7697402159170326
-0.1720430000000306,0.73,-0.2,-0.14,0.7697402159170326
-0.17004199999996672,0.73,-0.2,-0.14,0.7697402159170326
-0.168042000000014,0.73,-0.2,-0.14,0.7697402159170326
-0.16596800000002077,0.73,-0.2,-0.14,0.7697402159170326
-0.1639989999998761,0.62,-0.0,-0.11,0.6296824596572467
-0.1619989999999234,0.62,-0.0,-0.11,0.6296824596572467
-0.15999799999985953,0.62,-0.0,-0.11,0.6296824596572467
-0.15799999999990177,0.62,-0.0,-0.11,0.6296824596572467
-0.15599799999995412,0.62,-0.0,-0.11,0.6296824596572467
-0.15404199999989032,0.44,-0.06,-0.12,0.45999999999999996
-0.15204199999993762,0.44,-0.06,-0.12,0.45999999999999996
-0.1500349999998889,0.44,-0.06,-0.12,0.45999999999999996
-0.14802499999996144,0.44,-0.06,-0.12,0.45999999999999996
-0.14602700000000368,0.44,-0.06,-0.12,0.45999999999999996
-0.14404199999989942,0.26,-0.21,0.01,0.33436506994600973
-0.1420219999999972,0.26,-0.21,0.01,0.33436506994600973
-0.1400340000000142,0.26,-0.21,0.01,0.33436506994600973
-0.13803699999994024,0.26,-0.21,0.01,0.33436506994600973
-0.13603799999987132,0.26,-0.21,0.01,0.33436506994600973
-0.13404100000002472,0.26,-0.21,0.01,0.33436506994600973
-0.1320349999998598,0.11,-0.33,-0.17,0.3871692136521188
-0.12992499999995744,0.11,-0.33,-0.17,0.3871692136521188
-0.12800900000002002,0.11,-0.33,-0.17,0.3871692136521188
-0.1259949999998753,0.11,-0.33,-0.17,0.3871692136521188
-0.12400000000002365,0.11,-0.33,-0.17,0.3871692136521188
-0.12199799999984862,0.11,-0.32,-0.06,0.3436568055487917
-0.11999799999989591,0.11,-0.32,-0.06,0.3436568055487917
-0.11799699999983204,0.11,-0.32,-0.06,0.3436568055487917
-0.11597299999993993,0.11,-0.32,-0.06,0.3436568055487917
-0.11404099999981554,0.11,-0.32,-0.06,0.3436568055487917
-0.112041999999974,0.19,-0.4,-0.17,0.47434164902525694
-0.11004200000002129,0.19,-0.4,-0.17,0.47434164902525694
-0.1080019999999422,0.19,-0.4,-0.17,0.47434164902525694
-0.10603999999989355,0.19,-0.4,-0.17,0.47434164902525694
-0.1040419999999358,0.19,-0.4,-0.17,0.47434164902525694
-0.10204199999998309,0.1,-0.37,-0.4,0.5539855593785817
-0.10004299999991417,0.1,-0.37,-0.4,0.5539855593785817
-0.09804099999996652,0.1,-0.37,-0.4,0.5539855593785817
-0.09602499999982683,0.1,-0.37,-0.4,0.5539855593785817
-0.09404199999994489,0.1,-0.37,-0.4,0.5539855593785817
-0.09202699999991637,-0.26,-0.44,-0.8,0.9493155429044655
-0.09003699999993842,-0.26,-0.44,-0.8,0.9493155429044655
-0.08797800000002098,-0.26,-0.44,-0.8,0.9493155429044655
-0.08599400000002788,-0.26,-0.44,-0.8,0.9493155429044655
-0.08399699999995391,-0.26,-0.44,-0.8,0.9493155429044655
-0.08199599999989005,-0.81,-0.52,-0.98,1.3736447866897759
-0.07999499999982618,-0.81,-0.52,-0.98,1.3736447866897759
-0.07795699999996941,-0.81,-0.52,-0.98,1.3736447866897759
-0.07597999999984495,-0.81,-0.52,-0.98,1.3736447866897759
-0.07399199999986195,-0.81,-0.52,-0.98,1.3736447866897759
-0.07199399999990419,-1.32,-0.9,-0.96,1.863866948041088
-0.0700419999998303,-1.32,-0.9,-0.96,1.863866948041088
-0.0680409999999938,-1.32,-0.9,-0.96,1.863866948041088
-0.06592799999998533,-1.32,-0.9,-0.96,1.863866948041088
-0.06396899999981542,-1.32,-0.9,-0.96,1.863866948041088
-0.062035999999807245,-1.33,-1.46,-0.87,2.158101017098134
-0.06003899999996065,-1.33,-1.46,-0.87,2.158101017098134
-0.0580449999999928,-1.33,-1.46,-0.87,2.158101017098134
-0.05604199999993398,-1.33,-1.46,-0.87,2.158101017098134
-0.05404099999987011,-1.33,-1.46,-0.87,2.158101017098134
-0.052044000000023516,-0.79,-1.52,-0.98,1.9735501007068454
-0.050034999999979846,-0.79,-1.52,-0.98,1.9735501007068454
-0.04802299999983006,-0.79,-1.52,-0.98,1.9735501007068454
-0.04599799999982679,-0.79,-1.52,-0.98,1.9735501007068454
-0.04399999999986903,-0.79,-1.52,-0.98,1.9735501007068454
-0.04197899999985566,-0.62,-1.36,-1.06,1.8323755073674175
