time,ax,ay,az,a_total
-0.1979949999999917,-1.84,-0.29,-0.76,2.0117902475158784
-0.19599399999998468,-2.28,0.89,-0.74,2.5569708641280995
-0.19395200000002433,-2.28,0.89,-0.74,2.5569708641280995
-0.19197100000002365,-2.28,0.89,-0.74,2.5569708641280995
-0.18996299999997746,-2.28,0.89,-0.74,2.5569708641280995
-0.18799599999999828,-2.28,0.89,-0.74,2.5569708641280995
-0.18599599999998873,-2.51,2.47,-0.72,3.594356687920663
-0.18397399999997788,-2.51,2.47,-0.72,3.594356687920663
-0.1819229999999834,-2.51,2.47,-0.72,3.594356687920663
-0.17995000000001937,-2.51,2.47,-0.72,3.594356687920663
-0.17797999999999092,-2.51,2.47,-0.72,3.594356687920663
-0.17599100000001044,-2.51,2.47,-0.72,3.594356687920663
-0.17399699999998575,-2.51,3.29,-0.23,4.144526510953935
-0.17199399999998377,-2.51,3.29,-0.23,4.144526510953935
-0.16999399999997422,-2.51,3.29,-0.23,4.144526510953935
-0.16799200000002656,-2.51,3.29,-0.23,4.144526510953935
-0.1660009999999943,-2.51,3.29,-0.23,4.144526510953935
-0.16399300000000494,-2.14,2.55,-0.17,3.333316666625
-0.16199199999999792,-2.14,2.55,-0.17,3.333316666625
-0.15999399999998332,-2.14,2.55,-0.17,3.333316666625
-0.1578710000000001,-2.14,2.55,-0.17,3.333316666625
-0.1560000000000059,-2.14,2.55,-0.17,3.333316666625
-0.1539989999999989,-2.02,1.59,-0.69,2.6616911917050032
-0.1519999999999868,-2.02,1.59,-0.69,2.6616911917050032
-0.1499939999999924,-2.02,1.59,-0.69,2.6616911917050032
-0.14799900000002708,-2.02,1.59,-0.69,2.6616911917050032
-0.14599700000002258,-2.02,1.59,-0.69,2.6616911917050032
-0.1439669999999751,-2.53,1.14,-1.01,2.953066203118379
-0.14198299999998198,-2.53,1.14,-1.01,2.953066203118379
-0.13999999999998636,-2.53,1.14,-1.01,2.953066203118379
-0.13800099999997428,-2.53,1.14,-1.01,2.953066203118379
-0.13599599999997736,-2.53,1.14,-1.01,2.953066203118379
-0.1339839999999981,-2.89,1.17,-1.12,3.31291412505667
-0.132000000000005,-2.89,1.17,-1.12,3.31291412505667
-0.1299980000000005,-2.89,1.17,-1.12,3.31291412505667
-0.12800299999997833,-2.89,1.17,-1.12,3.31291412505667
-0.1259939999999915,-2.89,1.17,-1.12,3.31291412505667
-0.12399900000002617,-2.71,1.64,-1.34,3.4393749432127927
-0.12199199999997745,-2.71,1.64,-1.34,3.4393749432127927
-0.1199940000000197,-2.71,1.64,-1.34,3.4393749432127927
-0.11799899999999752,-2.71,1.64,-1.34,3.4393749432127927
-0.1160019999999804,-2.71,1.64,-1.34,3.4393749432127927
-0.11396899999999732,-3.0,2.18,-1.96,4.1945202347825195
-0.11195900000001302,-3.0,2.18,-1.96,4.1945202347825195
-0.10996699999998327,-3.0,2.18,-1.96,4.1945202347825195
-0.10787499999997863,-3.0,2.18,-1.96,4.1945202347825195
-0.10599600000000464,-3.0,2.18,-1.96,4.1945202347825195
-0.10396700000001147,-2.5,2.06,-1.93,3.770742632426668
-0.10199899999997797,-2.5,2.06,-1.93,3.770742632426668
-0.09999800000002779,-2.5,2.06,-1.93,3.770742632426668
-0.09799900000001571,-2.5,2.06,-1.93,3.770742632426668
-0.09599400000001879,-2.5,2.06,-1.93,3.770742632426668
-0.09400199999998904,-2.5,2.06,-1.93,3.770742632426668
-0.09195599999998194,-1.76,1.87,-1.78,3.1245639695803957
-0.08997699999997621,-1.76,1.87,-1.78,3.1245639695803957
-0.08800000000002228,-1.76,1.87,-1.78,3.1245639695803957
-0.08599400000002788,-1.76,1.87,-1.78,3.1245639695803957
-0.08397999999999683,-1.76,1.87,-1.78,3.1245639695803957
-0.08200199999998858,-1.69,1.42,-2.0,2.978674201721296
-0.07999599999999418,-1.69,1.42,-2.0,2.978674201721296
-0.07800200000002633,-1.69,1.42,-2.0,2.978674201721296
-0.07599900000002435,-1.69,1.42,-2.0,2.978674201721296
-0.07389999999998054,-1.69,1.42,-2.0,2.978674201721296
-0.07196800000002668,-1.75,0.42,-2.46,3.048032152061392
-0.0699989999999957,-1.75,0.42,-2.46,3.048032152061392
-0.0680009999999811,-1.75,0.42,-2.46,3.048032152061392
-0.06596400000000813,-1.75,0.42,-2.46,3.048032152061392
-0.06404200000002902,-1.75,0.42,-2.46,3.048032152061392
-0.06204000000002452,-1.68,-0.55,-2.65,3.18549839114698
-0.059942999999975655,-1.68,-0.55,-2.65,3.18549839114698
-0.05796400000002677,-1.68,-0.55,-2.65,3.18549839114698
-0.05600400000002992,-1.68,-0.55,-2.65,3.18549839114698
-0.05399399999998877,-1.68,-0.55,-2.65,3.18549839114698
-0.05199800000002597,-1.62,-1.12,-2.59,3.253751680752543
-0.04999900000001389,-1.62,-1.12,-2.59,3.253751680752543
-0.04799600000001192,-1.62,-1.12,-2.59,3.253751680752543
-0.04598500000003014,-1.62,-1.12,-2.59,3.253751680752543
-0.04399999999998272,-1.62,-1.12,-2.59,3.253751680752543
-0.04199599999998327,-1.91,-1.37,-2.73,3.6024852532661393
-0.03999800000002551,-1.91,-1.37,-2.73,3.6024852532661393
-0.03799700000001849,-1.91,-1.37,-2.73,3.6024852532661393
-0.03599500000001399,-1.91,-1.37,-2.73,3.6024852532661393
-0.03399000000001706,-1.91,-1.37,-2.73,3.6024852532661393
-0.03199899999998479,-2.64,-1.6,-2.95,4.269906322157431
-0.02999499999998534,-2.64,-1.6,-2.95,4.269906322157431
-0.02800400000000991,-2.64,-1.6,-2.95,4.269906322157431
-0.02596499999998514,-2.64,-1.6,-2.95,4.269906322157431
-0.023967000000027383,-2.64,-1.6,-2.95,4.269906322157431
-0.022000999999988835,-3.25,-1.36,-2.8,4.500233327284264
-0.01999399999999696,-3.25,-1.36,-2.8,4.500233327284264
-0.018000000000029104,-3.25,-1.36,-2.8,4.500233327284264
-0.015992999999980384,-3.25,-1.36,-2.8,4.500233327284264
-0.013992000000030203,-3.25,-1.36,-2.8,4.500233327284264
-0.01199900000000298,-3.25,-1.36,-2.8,4.500233327284264
-0.009993000000008578,-4.62,-0.94,-2.63,5.398601670803283
