time,ax,ay,az,a_total
-0.2000110000001314,-2.57,-0.65,-0.05,2.6513958587883475
-0.19801300000017363,-2.57,-0.65,-0.05,2.6513958587883475
-0.1959990000000289,-2.76,0.34,-0.41,2.81092511461974
-0.19401200000015706,-2.76,0.34,-0.41,2.81092511461974
-0.19201200000020435,-2.76,0.34,-0.41,2.81092511461974
-0.1899540000001707,-2.76,0.34,-0.41,2.81092511461974
-0.18800500000020293,-2.76,0.34,-0.41,2.81092511461974
-0.18601300000000265,-3.0,0.97,-0.75,3.240894938130516
-0.18401600000015605,-3.0,0.97,-0.75,3.240894938130516
-0.18201300000009724,-3.0,0.97,-0.75,3.240894938130516
-0.18001300000014453,-3.0,0.97,-0.75,3.240894938130516
-0.1780100000000857,-3.0,0.97,-0.75,3.240894938130516
-0.17601300000001174,-3.0,0.97,-0.75,3.240894938130516
-0.17401300000005904,-3.03,1.73,-0.97,3.62142237249399
-0.17199300000015683,-3.03,1.73,-0.97,3.62142237249399
-0.17000900000016372,-3.03,1.73,-0.97,3.62142237249399
-0.16801200000008976,-3.03,1.73,-0.97,3.62142237249399
-0.1660110000000259,-3.03,1.73,-0.97,3.62142237249399
-0.16401100000007318,-3.0,2.4,-0.97,3.9624361193588973
-0.16198800000006486,-3.0,2.4,-0.97,3.9624361193588973
-0.16001200000005156,-3.0,2.4,-0.97,3.9624361193588973
-0.15801299999998264,-3.0,2.4,-0.97,3.9624361193588973
-0.1559980000001815,-3.0,2.4,-0.97,3.9624361193588973
-0.15401100000008228,-2.59,2.37,-0.94,3.6343637682543557
-0.1520140000000083,-2.59,2.37,-0.94,3.6343637682543557
-0.15000400000008085,-2.59,2.37,-0.94,3.6343637682543557
-0.14801299999999173,-2.59,2.37,-0.94,3.6343637682543557
-0.14599700000007942,-2.59,2.37,-0.94,3.6343637682543557
-0.14400799999998526,-2.62,2.27,-1.43,3.7499599997866646
-0.14201100000013867,-2.62,2.27,-1.43,3.7499599997866646
-0.1400140000000647,-2.62,2.27,-1.43,3.7499599997866646
-0.13801200000011704,-2.62,2.27,-1.43,3.7499599997866646
-0.13600900000005822,-2.62,2.27,-1.43,3.7499599997866646
-0.13401100000010047,-3.09,2.4,-1.74,4.282020551095008
-0.1320140000000265,-3.09,2.4,-1.74,4.282020551095008
-0.1300140000000738,-3.09,2.4,-1.74,4.282020551095008
-0.12801300000000992,-3.09,2.4,-1.74,4.282020551095008
-0.12601300000005722,-3.09,2.4,-1.74,4.282020551095008
-0.12400800000000345,-3.15,2.37,-1.87,4.363060852199978
-0.1220010000001821,-3.15,2.37,-1.87,4.363060852199978
-0.1200130000001991,-3.15,2.37,-1.87,4.363060852199978
-0.11801300000001902,-3.15,2.37,-1.87,4.363060852199978
-0.11601100000007136,-3.15,2.37,-1.87,4.363060852199978
-0.11401100000011866,-2.85,2.2,-1.9,4.0709335538669755
-0.1120130000001609,-2.85,2.2,-1.9,4.0709335538669755
-0.11001400000009198,-2.85,2.2,-1.9,4.0709335538669755
