timestamp,accX,accY,accZ
434541329,-1.02,0.09,-0.01
434543281,-1.02,0.09,-0.01
434545277,-1.02,0.09,-0.01
434547278,-1.02,0.09,-0.01
434549280,-1.02,0.09,-0.01
434551365,-1.02,0.11,-0.03
434553282,-1.02,0.11,-0.03
434555279,-1.02,0.11,-0.03
434557279,-1.02,0.11,-0.03
434559280,-1.02,0.11,-0.03
434561284,-1.00,0.10,-0.04
434563286,-1.00,0.10,-0.04
434565278,-1.00,0.10,-0.04
434567296,-1.00,0.10,-0.04
434569290,-1.00,0.10,-0.04
434571278,-1.00,0.11,-0.04
434573283,-1.00,0.11,-0.04
434575358,-1.00,0.11,-0.04
434577280,-1.00,0.11,-0.04
434579276,-1.00,0.11,-0.04
434581281,-1.00,0.10,-0.02
434583276,-1.00,0.10,-0.02
434585283,-1.00,0.10,-0.02
434587277,-1.00,0.10,-0.02
434589278,-1.00,0.10,-0.02
434647356,-1.01,0.11,-0.03
434649310,-1.01,0.11,-0.03
434651417,-1.01,0.11,-0.03
434653311,-1.01,0.12,-0.03
434655310,-1.01,0.12,-0.03
434657311,-1.01,0.12,-0.03
434659310,-1.01,0.12,-0.03
434661312,-1.01,0.12,-0.03
434663308,-1.01,0.11,-0.02
434665277,-1.01,0.11,-0.02
434667275,-1.01,0.11,-0.02
434669274,-1.01,0.11,-0.02
434671273,-1.01,0.11,-0.02
434673278,-1.01,0.10,-0.01
434675359,-1.01,0.10,-0.01
434677278,-1.01,0.10,-0.01
434679275,-1.01,0.10,-0.01
434681275,-1.01,0.10,-0.01
434683275,-1.00,0.10,-0.01
434685275,-1.00,0.10,-0.01
434687311,-1.00,0.10,-0.01
434689310,-1.00,0.10,-0.01
434691312,-1.00,0.10,-0.01
434693308,-1.00,0.10,-0.02
434695312,-1.00,0.10,-0.02
434697311,-1.00,0.10,-0.02
434699278,-1.00,0.10,-0.02
434701361,-1.00,0.10,-0.02
434703305,-1.01,0.09,-0.04
434705290,-1.01,0.09,-0.04
434707294,-1.01,0.09,-0.04
434709278,-1.01,0.09,-0.04
434711272,-1.01,0.09,-0.04
434713278,-1.02,0.11,-0.04
434715277,-1.02,0.11,-0.04
434717276,-1.02,0.11,-0.04
434719274,-1.02,0.11,-0.04
434721275,-1.02,0.11,-0.04
434723278,-1.00,0.10,-0.04
434725355,-1.00,0.10,-0.04
434727356,-1.00,0.10,-0.04
434729317,-1.00,0.10,-0.04
434731312,-1.00,0.10,-0.04
434733312,-1.00,0.08,-0.03
434735331,-1.00,0.08,-0.03
434737309,-1.00,0.08,-0.03
434739313,-1.00,0.08,-0.03
434741310,-1.00,0.08,-0.03
434743349,-1.00,0.06,-0.02
434745311,-1.00,0.06,-0.02
434747275,-1.00,0.06,-0.02
434749273,-1.00,0.06,-0.02
434751372,-1.00,0.06,-0.02
434753277,-1.00,0.06,-0.02
434755273,-1.00,0.05,-0.00
434757277,-1.00,0.05,-0.00
434759273,-1.00,0.05,-0.00
434761276,-1.00,0.05,-0.00
434763273,-1.00,0.05,-0.00
434765272,-1.01,0.05,-0.00
434767316,-1.01,0.05,-0.00
434769309,-1.01,0.05,-0.00
434771312,-1.01,0.05,-0.00
434773306,-1.01,0.05,-0.00
434775395,-1.02,0.04,-0.01
434777311,-1.02,0.04,-0.01
434779276,-1.02,0.04,-0.01
434781272,-1.02,0.04,-0.01
434783272,-1.02,0.04,-0.01
434785273,-1.01,0.05,-0.01
434787273,-1.01,0.05,-0.01
434789273,-1.01,0.05,-0.01
434791275,-1.01,0.05,-0.01
434793276,-1.01,0.05,-0.01
434795274,-1.00,0.07,-0.02
434797275,-1.00,0.07,-0.02
434799277,-1.00,0.07,-0.02
434801371,-1.00,0.07,-0.02
434803311,-1.00,0.07,-0.02
434805291,-1.00,0.10,-0.01
434807311,-1.00,0.10,-0.01
434809307,-1.00,0.10,-0.01
434811308,-1.00,0.10,-0.01
434813310,-1.00,0.10,-0.01
434815310,-0.98,0.12,0.00
434817307,-0.98,0.12,0.00
434819275,-0.98,0.12,0.00
434821275,-0.98,0.12,0.00
434823276,-0.98,0.12,0.00
434825362,-0.99,0.14,0.00
434827279,-0.99,0.14,0.00
434829286,-0.99,0.14,0.00
434831331,-0.99,0.14,0.00
434833430,-0.99,0.14,0.00
434835308,-1.01,0.17,-0.00
434837278,-1.01,0.17,-0.00
434839272,-1.01,0.17,-0.00
434841274,-1.01,0.17,-0.00
434843274,-1.01,0.17,-0.00
434845275,-1.01,0.20,0.00
434847312,-1.01,0.20,0.00
434849308,-1.01,0.20,0.00
434851418,-1.01,0.20,0.00
434853306,-1.01,0.20,0.00
434855312,-1.02,0.26,0.02
434857308,-1.02,0.26,0.02
434859274,-1.02,0.26,0.02
434861279,-1.02,0.26,0.02
434863274,-1.02,0.26,0.02
434865272,-1.06,0.28,0.03
434867275,-1.06,0.28,0.03
434869275,-1.06,0.28,0.03
434871276,-1.06,0.28,0.03
434873274,-1.06,0.28,0.03
434875359,-1.06,0.28,0.03
434877278,-1.07,0.27,0.04
434879275,-1.07,0.27,0.04
434881275,-1.07,0.27,0.04
434883267,-1.07,0.27,0.04
434885273,-1.07,0.27,0.04
434887308,-1.04,0.23,0.05
434889307,-1.04,0.23,0.05
434891309,-1.04,0.23,0.05
434893310,-1.04,0.23,0.05
434895310,-1.04,0.23,0.05
434897310,-1.01,0.19,0.04
434899279,-1.01,0.19,0.04
434901358,-1.01,0.19,0.04
434903312,-1.01,0.19,0.04
434905292,-1.01,0.19,0.04
434907293,-1.01,0.18,0.01
434909275,-1.01,0.18,0.01
434911274,-1.01,0.18,0.01
434913274,-1.01,0.18,0.01
434915278,-1.01,0.18,0.01
434917274,-1.01,0.17,-0.00
434919277,-1.01,0.17,-0.00
434921275,-1.01,0.17,-0.00
434923276,-1.01,0.17,-0.00
434925359,-1.01,0.17,-0.00
434927315,-1.00,0.14,-0.04
434929311,-1.00,0.14,-0.04
434931340,-1.00,0.14,-0.04
434933374,-1.00,0.14,-0.04
434935351,-1.00,0.14,-0.04
434937334,-0.97,0.12,-0.06
434939306,-0.97,0.12,-0.06
434941310,-0.97,0.12,-0.06
434943306,-0.97,0.12,-0.06
434945279,-0.97,0.12,-0.06
434947274,-0.94,0.08,-0.08
434949276,-0.94,0.08,-0.08
434951371,-0.94,0.08,-0.08
434953276,-0.94,0.08,-0.08
434955277,-0.94,0.08,-0.08
434957275,-0.91,0.01,-0.08
434959277,-0.91,0.01,-0.08
434961277,-0.91,0.01,-0.08
434963275,-0.91,0.01,-0.08
434965276,-0.91,0.01,-0.08
434967312,-0.93,-0.04,-0.06
434969310,-0.93,-0.04,-0.06
434971313,-0.93,-0.04,-0.06
434973308,-0.93,-0.04,-0.06
434975398,-0.93,-0.04,-0.06
434977311,-0.99,-0.04,-0.05
434979279,-0.99,-0.04,-0.05
434981276,-0.99,-0.04,-0.05
434983277,-0.99,-0.04,-0.05
434985278,-0.99,-0.04,-0.05
434987279,-1.03,0.00,-0.03
434989279,-1.03,0.00,-0.03
434991279,-1.03,0.00,-0.03
434993277,-1.03,0.00,-0.03
434995274,-1.03,0.00,-0.03
434997275,-1.03,0.00,-0.03
434999277,-1.04,0.06,-0.00
435001356,-1.04,0.06,-0.00
435003310,-1.04,0.06,-0.00
435005293,-1.04,0.06,-0.00
435007316,-1.04,0.06,-0.00
435009312,-1.03,0.08,0.04
435011307,-1.03,0.08,0.04
435013310,-1.03,0.08,0.04
435015308,-1.03,0.08,0.04
435017307,-1.03,0.08,0.04
435019275,-1.05,0.09,0.05
435021277,-1.05,0.09,0.05
435023272,-1.05,0.09,0.05
435025363,-1.05,0.09,0.05
435027279,-1.05,0.09,0.05
435029275,-1.05,0.13,0.06
435031277,-1.05,0.13,0.06
435033276,-1.05,0.13,0.06
435035322,-1.05,0.13,0.06
435037352,-1.05,0.13,0.06
435039307,-1.02,0.16,0.03
435041273,-1.02,0.16,0.03
435043271,-1.02,0.16,0.03
435045274,-1.02,0.16,0.03
435047325,-1.02,0.16,0.03
435049311,-1.01,0.15,-0.01
435051417,-1.01,0.15,-0.01
435053309,-1.01,0.15,-0.01
435055309,-1.01,0.15,-0.01
435057307,-1.01,0.15,-0.01
435059309,-0.98,0.09,-0.03
435061275,-0.98,0.09,-0.03
435063276,-0.98,0.09,-0.03
435065275,-0.98,0.09,-0.03
435067275,-0.98,0.09,-0.03
435069275,-0.93,0.01,-0.04
435071275,-0.93,0.01,-0.04
435073275,-0.93,0.01,-0.04
435075363,-0.93,0.01,-0.04
435077280,-0.93,0.01,-0.04
435079275,-0.89,-0.02,-0.02
435081271,-0.89,-0.02,-0.02
435083276,-0.89,-0.02,-0.02
435085274,-0.89,-0.02,-0.02
435087309,-0.89,-0.02,-0.02
435089307,-0.88,-0.06,-0.04
435091311,-0.88,-0.06,-0.04
435093311,-0.88,-0.06,-0.04
435095311,-0.88,-0.06,-0.04
435097311,-0.88,-0.06,-0.04
435099278,-0.88,-0.06,-0.05
435101358,-0.88,-0.06,-0.05
435103311,-0.88,-0.06,-0.05
435105292,-0.88,-0.06,-0.05
435107289,-0.88,-0.06,-0.05
435109276,-0.92,0.04,-0.02
435111334,-0.92,0.04,-0.02
435113362,-0.92,0.04,-0.02
435115329,-0.92,0.04,-0.02
435117299,-0.92,0.04,-0.02
435119279,-0.97,0.17,0.01
435121274,-0.97,0.17,0.01
435123278,-0.97,0.17,0.01
435125380,-0.97,0.17,0.01
435127326,-0.97,0.17,0.01
435129307,-0.97,0.17,0.01
435131310,-1.00,0.23,0.05
435133311,-1.00,0.23,0.05
435135308,-1.00,0.23,0.05
435137343,-1.00,0.23,0.05
435139308,-1.00,0.23,0.05
435141275,-1.07,0.14,0.03
435143278,-1.07,0.14,0.03
435145279,-1.07,0.14,0.03
435147275,-1.07,0.14,0.03
435149275,-1.07,0.14,0.03
435151368,-1.05,0.04,-0.01
435153279,-1.05,0.04,-0.01
435155275,-1.05,0.04,-0.01
435157275,-1.05,0.04,-0.01
435159277,-1.05,0.04,-0.01
435161276,-1.02,-0.01,-0.07
435163275,-1.02,-0.01,-0.07
435165275,-1.02,-0.01,-0.07
435167309,-1.02,-0.01,-0.07
435169310,-1.02,-0.01,-0.07
435171307,-1.00,0.04,-0.11
435173309,-1.00,0.04,-0.11
435175519,-1.00,0.04,-0.11
435177329,-1.00,0.04,-0.11
435179308,-1.00,0.04,-0.11
435181308,-1.00,0.15,-0.16
435183275,-1.00,0.15,-0.16
435185274,-1.00,0.15,-0.16
435187277,-1.00,0.15,-0.16
435189276,-1.00,0.15,-0.16
435191276,-0.99,0.20,-0.18
435193277,-0.99,0.20,-0.18
435195275,-0.99,0.20,-0.18
435197278,-0.99,0.20,-0.18
435199276,-0.99,0.20,-0.18
435201365,-1.00,0.20,-0.24
435203305,-1.00,0.20,-0.24
435205292,-1.00,0.20,-0.24
435207315,-1.00,0.20,-0.24
435209308,-1.00,0.20,-0.24
435211311,-1.07,0.22,-0.34
435213310,-1.07,0.22,-0.34
435215308,-1.07,0.22,-0.34
435217308,-1.07,0.22,-0.34
435219276,-1.07,0.22,-0.34
435221279,-1.07,0.26,-0.41
435223276,-1.07,0.26,-0.41
435225366,-1.07,0.26,-0.41
435227283,-1.07,0.26,-0.41
435229274,-1.07,0.26,-0.41
435231272,-1.02,0.32,-0.48
435233274,-1.02,0.32,-0.48
435235273,-1.02,0.32,-0.48
435237273,-1.02,0.32,-0.48
435239342,-1.02,0.32,-0.48
435241409,-1.05,0.34,-0.50
435243308,-1.05,0.34,-0.50
435245275,-1.05,0.34,-0.50
435247316,-1.05,0.34,-0.50
435249310,-1.05,0.34,-0.50
435251420,-1.08,0.31,-0.43
435253308,-1.08,0.31,-0.43
435255308,-1.08,0.31,-0.43
435257309,-1.08,0.31,-0.43
435259310,-1.08,0.31,-0.43
435261289,-1.08,0.31,-0.43
435263265,-1.04,0.32,-0.32
435265265,-1.04,0.32,-0.32
435267266,-1.04,0.32,-0.32
435269265,-1.04,0.32,-0.32
435271262,-1.04,0.32,-0.32
435273264,-1.01,0.38,-0.20
435275352,-1.01,0.38,-0.20
435277268,-1.01,0.38,-0.20
435279262,-1.01,0.38,-0.20
435281262,-1.01,0.38,-0.20
435283262,-1.03,0.48,-0.06
435285261,-1.03,0.48,-0.06
435287307,-1.03,0.48,-0.06
435289310,-1.03,0.48,-0.06
435291395,-1.03,0.48,-0.06
435293319,-1.06,0.56,0.05
435295305,-1.06,0.56,0.05
435297306,-1.06,0.56,0.05
435299307,-1.06,0.56,0.05
435301403,-1.06,0.56,0.05
435303307,-1.09,0.65,0.12
435305283,-1.09,0.65,0.12
435307280,-1.09,0.65,0.12
435309265,-1.09,0.65,0.12
435311268,-1.09,0.65,0.12
435313264,-1.17,0.69,0.15
435315267,-1.17,0.69,0.15
435317267,-1.17,0.69,0.15
435319263,-1.17,0.69,0.15
435321267,-1.17,0.69,0.15
435323262,-1.42,0.58,0.02
435325355,-1.42,0.58,0.02
435327310,-1.42,0.58,0.02
