timestamp,accX,accY,accZ
385290331,-1.02,0.14,-0.07
385292278,-1.02,0.14,-0.07
385294278,-1.00,0.14,-0.07
385296279,-1.00,0.14,-0.07
385298279,-1.00,0.14,-0.07
385300374,-1.00,0.14,-0.07
385302286,-1.00,0.14,-0.07
385304290,-1.00,0.12,-0.06
385306296,-1.00,0.12,-0.06
385308279,-1.00,0.12,-0.06
385310284,-1.00,0.12,-0.06
385312283,-1.00,0.12,-0.06
385314274,-1.00,0.12,-0.06
385316276,-1.00,0.12,-0.06
385318308,-1.00,0.12,-0.06
385320277,-1.00,0.12,-0.06
385322284,-1.00,0.12,-0.06
385324278,-1.02,0.12,-0.05
385326355,-1.02,0.12,-0.05
385328278,-1.02,0.12,-0.05
385330282,-1.02,0.12,-0.05
385332275,-1.02,0.12,-0.05
385334281,-1.02,0.12,-0.06
385336277,-1.02,0.12,-0.06
385338276,-1.02,0.12,-0.06
385396368,-1.00,0.11,-0.07
385398316,-1.00,0.11,-0.07
385400406,-1.00,0.11,-0.07
385402313,-1.00,0.11,-0.07
385404313,-1.01,0.12,-0.07
385406310,-1.01,0.12,-0.07
385408308,-1.01,0.12,-0.07
385410311,-1.01,0.12,-0.07
385412311,-1.01,0.12,-0.07
385414276,-1.01,0.12,-0.07
385416276,-1.02,0.12,-0.06
385418303,-1.02,0.12,-0.06
385420275,-1.02,0.12,-0.06
385422274,-1.02,0.12,-0.06
385424277,-1.02,0.12,-0.06
385426358,-1.00,0.12,-0.06
385428274,-1.00,0.12,-0.06
385430274,-1.00,0.12,-0.06
385432277,-1.00,0.12,-0.06
385434274,-1.00,0.12,-0.06
385436308,-1.01,0.13,-0.06
385438312,-1.01,0.13,-0.06
385440311,-1.01,0.13,-0.06
385442309,-1.01,0.13,-0.06
385444309,-1.01,0.13,-0.06
385446309,-1.00,0.13,-0.06
385448276,-1.00,0.13,-0.06
385450357,-1.00,0.13,-0.06
385452280,-1.00,0.13,-0.06
385454275,-1.00,0.13,-0.06
385456272,-1.00,0.13,-0.06
385458272,-1.00,0.13,-0.06
385460274,-1.00,0.13,-0.06
385462275,-1.00,0.13,-0.06
385464278,-1.00,0.13,-0.06
385466273,-1.00,0.12,-0.07
385468274,-1.00,0.12,-0.07
385470273,-1.00,0.12,-0.07
385472339,-1.00,0.12,-0.07
385474355,-1.00,0.12,-0.07
385476432,-0.99,0.13,-0.08
385478311,-0.99,0.13,-0.08
385480312,-0.99,0.13,-0.08
385482312,-0.99,0.13,-0.08
385484311,-0.99,0.13,-0.08
385486310,-1.00,0.12,-0.08
385488311,-1.00,0.12,-0.08
385490278,-1.00,0.12,-0.08
385492276,-1.00,0.12,-0.08
385494275,-1.00,0.12,-0.08
385496267,-1.01,0.13,-0.08
385498277,-1.01,0.13,-0.08
385500364,-1.01,0.13,-0.08
385502279,-1.01,0.13,-0.08
385504291,-1.01,0.13,-0.08
385506293,-1.02,0.14,-0.07
385508276,-1.02,0.14,-0.07
385510275,-1.02,0.14,-0.07
385512276,-1.02,0.14,-0.07
385514276,-1.02,0.14,-0.07
385516316,-1.02,0.14,-0.06
385518326,-1.02,0.14,-0.06
385520312,-1.02,0.14,-0.06
385522314,-1.02,0.14,-0.06
385524310,-1.02,0.14,-0.06
385526396,-1.03,0.13,-0.05
385528278,-1.03,0.13,-0.05
385530279,-1.03,0.13,-0.05
385532274,-1.03,0.13,-0.05
385534278,-1.03,0.13,-0.05
385536275,-1.03,0.13,-0.05
385538276,-1.03,0.10,-0.06
385540275,-1.03,0.10,-0.06
385542273,-1.03,0.10,-0.06
385544275,-1.03,0.10,-0.06
385546274,-1.03,0.10,-0.06
385548278,-1.02,0.09,-0.05
385550367,-1.02,0.09,-0.05
385552279,-1.02,0.09,-0.05
385554274,-1.02,0.09,-0.05
385556309,-1.02,0.09,-0.05
385558310,-1.03,0.00,-0.04
385560312,-1.03,0.00,-0.04
385562310,-1.03,0.00,-0.04
385564336,-1.03,0.00,-0.04
385566318,-1.03,0.00,-0.04
385568351,-1.01,-0.01,-0.04
385570310,-1.01,-0.01,-0.04
385572275,-1.01,-0.01,-0.04
385574327,-1.01,-0.01,-0.04
385576391,-1.01,-0.01,-0.04
385578274,-1.01,0.00,-0.02
385580278,-1.01,0.00,-0.02
385582277,-1.01,0.00,-0.02
385584278,-1.01,0.00,-0.02
385586273,-1.01,0.00,-0.02
385588276,-1.00,0.06,-0.04
385590276,-1.00,0.06,-0.04
385592276,-1.00,0.06,-0.04
385594273,-1.00,0.06,-0.04
385596316,-1.00,0.06,-0.04
385598308,-1.01,0.07,-0.03
385600396,-1.01,0.07,-0.03
385602312,-1.01,0.07,-0.03
385604316,-1.01,0.07,-0.03
385606312,-1.01,0.07,-0.03
385608307,-1.01,0.11,-0.03
385610274,-1.01,0.11,-0.03
385612275,-1.01,0.11,-0.03
385614290,-1.01,0.11,-0.03
385616279,-1.01,0.11,-0.03
385618309,-1.02,0.12,-0.03
385620274,-1.02,0.12,-0.03
385622278,-1.02,0.12,-0.03
385624276,-1.02,0.12,-0.03
385626362,-1.02,0.12,-0.03
385628276,-1.02,0.15,-0.04
385630275,-1.02,0.15,-0.04
385632275,-1.02,0.15,-0.04
385634273,-1.02,0.15,-0.04
385636316,-1.02,0.15,-0.04
385638312,-1.01,0.20,-0.03
385640311,-1.01,0.20,-0.03
385642310,-1.01,0.20,-0.03
385644309,-1.01,0.20,-0.03
385646308,-1.01,0.20,-0.03
385648274,-1.02,0.24,-0.04
385650360,-1.02,0.24,-0.04
385652280,-1.02,0.24,-0.04
385654274,-1.02,0.24,-0.04
385656276,-1.02,0.24,-0.04
385658274,-1.02,0.24,-0.04
385660275,-1.02,0.28,-0.03
385662275,-1.02,0.28,-0.03
385664276,-1.02,0.28,-0.03
385666274,-1.02,0.28,-0.03
385668272,-1.02,0.28,-0.03
385670274,-1.04,0.27,-0.02
385672267,-1.04,0.27,-0.02
385674274,-1.04,0.27,-0.02
385676420,-1.04,0.27,-0.02
385678345,-1.04,0.27,-0.02
385680368,-1.04,0.25,-0.00
385682333,-1.04,0.25,-0.00
385684312,-1.04,0.25,-0.00
385686310,-1.04,0.25,-0.00
385688312,-1.04,0.25,-0.00
385690308,-1.01,0.23,0.00
385692309,-1.01,0.23,0.00
385694278,-1.01,0.23,0.00
385696276,-1.01,0.23,0.00
385698274,-1.01,0.23,0.00
385700379,-1.01,0.22,-0.02
385702280,-1.01,0.22,-0.02
385704289,-1.01,0.22,-0.02
385706294,-1.01,0.22,-0.02
385708279,-1.01,0.22,-0.02
385710278,-1.00,0.20,-0.04
385712280,-1.00,0.20,-0.04
385714276,-1.00,0.20,-0.04
385716311,-1.00,0.20,-0.04
385718327,-1.00,0.20,-0.04
385720309,-1.00,0.16,-0.05
385722310,-1.00,0.16,-0.05
385724310,-1.00,0.16,-0.05
385726393,-1.00,0.16,-0.05
385728276,-1.00,0.16,-0.05
385730276,-1.02,0.15,-0.05
385732352,-1.02,0.15,-0.05
385734274,-1.02,0.15,-0.05
385736274,-1.02,0.15,-0.05
385738274,-1.02,0.15,-0.05
385740272,-1.02,0.13,-0.06
385742272,-1.02,0.13,-0.06
385744275,-1.02,0.13,-0.06
385746277,-1.02,0.13,-0.06
385748273,-1.02,0.13,-0.06
385750350,-1.03,0.09,-0.06
385752275,-1.03,0.09,-0.06
385754272,-1.03,0.09,-0.06
385756310,-1.03,0.09,-0.06
385758309,-1.03,0.09,-0.06
385760312,-1.03,0.06,-0.04
385762309,-1.03,0.06,-0.04
385764311,-1.03,0.06,-0.04
385766363,-1.03,0.06,-0.04
385768359,-1.03,0.06,-0.04
385770308,-1.02,0.06,-0.01
385772273,-1.02,0.06,-0.01
385774275,-1.02,0.06,-0.01
385776366,-1.02,0.06,-0.01
385778282,-1.02,0.06,-0.01
385780330,-1.04,0.07,-0.04
385782277,-1.04,0.07,-0.04
385784275,-1.04,0.07,-0.04
385786277,-1.04,0.07,-0.04
385788277,-1.04,0.07,-0.04
385790276,-1.04,0.07,-0.04
385792277,-1.01,0.10,-0.04
385794272,-1.01,0.10,-0.04
385796311,-1.01,0.10,-0.04
385798311,-1.01,0.10,-0.04
385800406,-1.01,0.10,-0.04
385802312,-1.00,0.09,-0.05
385804311,-1.00,0.09,-0.05
385806308,-1.00,0.09,-0.05
385808311,-1.00,0.09,-0.05
385810275,-1.00,0.09,-0.05
385812273,-1.00,0.08,-0.08
385814277,-1.00,0.08,-0.08
385816279,-1.00,0.08,-0.08
385818307,-1.00,0.08,-0.08
385820272,-1.00,0.08,-0.08
385822274,-0.96,0.08,-0.09
385824274,-0.96,0.08,-0.09
385826357,-0.96,0.08,-0.09
385828276,-0.96,0.08,-0.09
385830276,-0.96,0.08,-0.09
385832273,-0.96,0.06,-0.12
385834275,-0.96,0.06,-0.12
385836310,-0.96,0.06,-0.12
385838309,-0.96,0.06,-0.12
385840312,-0.96,0.06,-0.12
385842313,-0.95,0.06,-0.18
385844310,-0.95,0.06,-0.18
385846309,-0.95,0.06,-0.18
385848275,-0.95,0.06,-0.18
385850361,-0.95,0.06,-0.18
385852280,-0.92,0.04,-0.20
385854274,-0.92,0.04,-0.20
385856272,-0.92,0.04,-0.20
385858276,-0.92,0.04,-0.20
385860272,-0.92,0.04,-0.20
385862274,-0.89,-0.02,-0.20
385864272,-0.89,-0.02,-0.20
385866273,-0.89,-0.02,-0.20
385868270,-0.89,-0.02,-0.20
385870271,-0.89,-0.02,-0.20
385872275,-0.91,-0.06,-0.21
385874274,-0.91,-0.06,-0.21
385876396,-0.91,-0.06,-0.21
385878311,-0.91,-0.06,-0.21
385880315,-0.91,-0.06,-0.21
385882351,-0.92,-0.03,-0.20
385884347,-0.92,-0.03,-0.20
385886339,-0.92,-0.03,-0.20
