time,ax,ay,az,a_total
-0.19995399999993424,-1.81,-2.52,0.28,3.11526884875126
-0.19801299999994626,-1.81,-2.52,0.28,3.11526884875126
-0.19603199999994558,-1.81,-2.52,0.28,3.11526884875126
-0.19402800000000298,-3.11,0.15,0.46,3.147411634978812
-0.19203299999992396,-3.11,0.15,0.46,3.147411634978812
-0.18997999999999138,-3.11,0.15,0.46,3.147411634978812
-0.18798899999990226,-3.11,0.15,0.46,3.147411634978812
-0.18602599999996983,-3.11,0.15,0.46,3.147411634978812
-0.18403399999999692,-4.46,1.81,0.77,4.874484588138524
-0.18203399999993053,-4.46,1.81,0.77,4.874484588138524
-0.18003399999997782,-4.46,1.81,0.77,4.874484588138524
-0.17802599999993163,-4.46,1.81,0.77,4.874484588138524
-0.17602899999997135,-4.46,1.81,0.77,4.874484588138524
-0.17403400000000602,-4.61,2.64,0.19,5.315806618002577
-0.17203399999993962,-4.61,2.64,0.19,5.315806618002577
-0.17002899999999954,-4.61,2.64,0.19,5.315806618002577
-0.16803299999992305,-4.61,2.64,0.19,5.315806618002577
-0.16602899999998044,-4.61,2.64,0.19,5.315806618002577
-0.16403299999990395,-4.2,3.19,-0.81,5.335934782210142
-0.16201799999998912,-4.2,3.19,-0.81,5.335934782210142
-0.16003299999999854,-4.2,3.19,-0.81,5.335934782210142
-0.15803799999991952,-4.2,3.19,-0.81,5.335934782210142
-0.1560339999999769,-4.2,3.19,-0.81,5.335934782210142
-0.15403399999991052,-4.31,4.11,-1.47,6.1342562711383355
-0.1519829999999729,-4.31,4.11,-1.47,6.1342562711383355
-0.14999999999997726,-4.31,4.11,-1.47,6.1342562711383355
-0.14803399999993871,-4.31,4.11,-1.47,6.1342562711383355
-0.14603199999999106,-4.31,4.11,-1.47,6.1342562711383355
-0.1439659999999776,-4.29,4.28,-1.7,6.293846200853656
-0.14199699999994664,-4.29,4.28,-1.7,6.293846200853656
-0.14002999999991061,-4.29,4.28,-1.7,6.293846200853656
-0.13801200000000335,-4.29,4.28,-1.7,6.293846200853656
-0.1360339999999951,-4.29,4.28,-1.7,6.293846200853656
-0.13402499999995143,-4.79,3.53,-1.71,6.191049991721921
-0.13203199999998105,-4.79,3.53,-1.71,6.191049991721921
-0.13003299999991214,-4.79,3.53,-1.71,6.191049991721921
-0.12799599999993916,-4.79,3.53,-1.71,6.191049991721921
-0.12599499999998898,-4.79,3.53,-1.71,6.191049991721921
-0.12403299999994033,-4.79,3.53,-1.71,6.191049991721921
-0.12203599999998005,-5.8,2.31,-2.07,6.5773094803270435
-0.12002799999993385,-5.8,2.31,-2.07,6.5773094803270435
-0.1180299999999761,-5.8,2.31,-2.07,6.5773094803270435
-0.11603099999990718,-5.8,2.31,-2.07,6.5773094803270435
-0.114029999999957,-5.8,2.31,-2.07,6.5773094803270435
-0.1120019999999613,-5.96,0.64,-2.69,6.570182645863051
-0.11003699999992023,-5.96,0.64,-2.69,6.570182645863051
-0.10803599999997004,-5.96,0.64,-2.69,6.570182645863051
-0.10603499999990618,-5.96,0.64,-2.69,6.570182645863051
-0.10399699999993572,-5.96,0.64,-2.69,6.570182645863051
-0.10199399999999059,-5.18,0.29,-2.91,5.948495608134883
-0.10003099999994447,-5.18,0.29,-2.91,5.948495608134883
-0.09802700000000186,-5.18,0.29,-2.91,5.948495608134883
-0.09595100000001366,-5.18,0.29,-2.91,5.948495608134883
-0.0939979999999423,-5.18,0.29,-2.91,5.948495608134883
-0.0920299999999088,-4.7,1.66,-2.25,5.468829856559811
-0.09003399999994599,-4.7,1.66,-2.25,5.468829856559811
-0.08801599999992504,-4.7,1.66,-2.25,5.468829856559811
-0.08603399999992689,-4.7,1.66,-2.25,5.468829856559811
-0.08402999999998428,-4.7,1.66,-2.25,5.468829856559811
-0.08203299999991032,-4.22,2.21,-2.21,5.251342685447218
-0.08003399999995509,-4.22,2.21,-2.21,5.251342685447218
-0.07803400000000238,-4.22,2.21,-2.21,5.251342685447218
-0.07603299999993851,-4.22,2.21,-2.21,5.251342685447218
-0.0740329999999858,-4.22,2.21,-2.21,5.251342685447218
-0.07203099999992446,-3.72,2.27,-1.81,4.718834601890598
-0.07002599999998438,-3.72,2.27,-1.81,4.718834601890598
-0.068033000000014,-3.72,2.27,-1.81,4.718834601890598
-0.06602799999996023,-3.72,2.27,-1.81,4.718834601890598
-0.06392499999992651,-3.72,2.27,-1.81,4.718834601890598
-0.062007999999991625,-2.43,1.76,-1.25,3.250384592629002
-0.06001099999991766,-2.43,1.76,-1.25,3.250384592629002
-0.05799200000001292,-2.43,1.76,-1.25,3.250384592629002
-0.056023999999979424,-2.43,1.76,-1.25,3.250384592629002
-0.05403000000001157,-2.43,1.76,-1.25,3.250384592629002
-0.052025999999955275,-1.09,1.02,-1.85,2.37718320707513
-0.049993999999969674,-1.09,1.02,-1.85,2.37718320707513
-0.04795899999999165,-1.09,1.02,-1.85,2.37718320707513
-0.045997999999940475,-1.09,1.02,-1.85,2.37718320707513
-0.0440249999999196,-1.09,1.02,-1.85,2.37718320707513
-0.042026999999961845,-0.85,0.33,-2.96,3.0972568508278417
-0.04003099999999904,-0.85,0.33,-2.96,3.0972568508278417
-0.03801099999998314,-0.85,0.33,-2.96,3.0972568508278417
-0.03603299999997489,-0.85,0.33,-2.96,3.0972568508278417
-0.03403199999991102,-0.85,0.33,-2.96,3.0972568508278417
-0.03203699999994569,-0.98,-0.25,-3.64,3.777896239972718
-0.03003400000000056,-0.98,-0.25,-3.64,3.777896239972718
-0.028023999999959415,-0.98,-0.25,-3.64,3.777896239972718
-0.025993999999968764,-0.98,-0.25,-3.64,3.777896239972718
-0.024030999999922642,-0.98,-0.25,-3.64,3.777896239972718
-0.02202999999997246,-0.98,-0.25,-3.64,3.777896239972718
-0.020034000000009655,-1.3,-0.68,-3.75,4.02677290146837
-0.018020999999976084,-1.3,-0.68,-3.75,4.02677290146837
-0.016028000000005704,-1.3,-0.68,-3.75,4.02677290146837
-0.014027999999939311,-1.3,-0.68,-3.75,4.02677290146837
-0.012003999999933512,-1.3,-0.68,-3.75,4.02677290146837
-0.010026999999922737,-3.76,-1.71,-4.1,5.819939862232255
-0.007994999999937136,-3.76,-1.71,-4.1,5.819939862232255
-0.0060159999999314095,-3.76,-1.71,-4.1,5.819939862232255
-0.004031999999938307,-3.76,-1.71,-4.1,5.819939862232255
-0.0019800000000032014,-3.76,-1.71,-4.1,5.819939862232255
0.0,-6.75,-3.41,-5.82,9.542693540086049
0.002003000000058819,-6.75,-3.41,-5.82,9.542693540086049
0.003972000000089793,-6.75,-3.41,-5.82,9.542693540086049
0.005968000000052598,-6.75,-3.41,-5.82,9.542693540086049
0.007966000000010354,-6.75,-3.41,-5.82,9.542693540086049
0.009973000000059073,-14.6,-14.39,-3.24,20.754028524602155
0.011986000000092645,-14.6,-14.39,-3.24,20.754028524602155
0.013967000000093321,-14.6,-14.39,-3.24,20.754028524602155
0.01597300000003088,-14.6,-14.39,-3.24,20.754028524602155
0.017968999999993684,-14.6,-14.39,-3.24,20.754028524602155
0.01997500000004493,-10.99,-10.66,9.6,18.071405590047497
0.021969000000012784,-10.99,-10.66,9.6,18.071405590047497
0.023969000000079177,-10.99,-10.66,9.6,18.071405590047497
0.02597000000002936,-10.99,-10.66,9.6,18.071405590047497
0.027971000000093227,-10.99,-10.66,9.6,18.071405590047497
0.029969000000050983,-13.39,-4.22,-2.59,14.276154944522002
0.031970000000001164,-13.39,-4.22,-2.59,14.276154944522002
0.03397000000006756,-13.39,-4.22,-2.59,14.276154944522002
0.03605000000004566,-13.39,-4.22,-2.59,14.276154944522002
0.03804500000001099,-13.39,-4.22,-2.59,14.276154944522002
0.04000200000007226,-1.05,14.85,0.29,14.889899260908383
0.04199900000003254,-1.05,14.85,0.29,14.889899260908383
0.04410700000005363,-1.05,14.85,0.29,14.889899260908383
0.046006000000033964,-1.05,14.85,0.29,14.889899260908383
0.04796800000008261,-1.05,14.85,0.29,14.889899260908383
0.04997200000002522,-12.17,-0.3,-10.59,16.135271922096635
0.052001000000018394,-12.17,-0.3,-10.59,16.135271922096635
0.054010000000062064,-12.17,-0.3,-10.59,16.135271922096635
0.05596600000001217,-12.17,-0.3,-10.59,16.135271922096635
0.05797200000006342,-12.17,-0.3,-10.59,16.135271922096635
0.05996700000002875,-12.6,-15.11,-3.06,19.91069310697144
0.06198600000004717,-12.6,-15.11,-3.06,19.91069310697144
